id	male_parent	female_parent
ID2536	ID2269	ID2264
ID2537	ID2269	ID2264
ID2538	ID1614	ID1695
ID2539	ID2269	ID2264
ID2540	ID1614	ID1695
ID2541	ID2269	ID2264
ID2542	ID1614	ID1695
ID2543	ID1614	ID1695
ID2544	ID1614	ID1695
ID2545	ID2269	ID2264
ID2546	ID2269	ID2264
ID2547	ID2269	ID2264
ID2548	ID1614	ID1695
ID2549	ID2269	ID2264
ID2550	ID2269	ID2264
ID2551	ID2269	ID2264
ID2552	ID1614	ID1695
ID2553	ID2269	ID2264
ID2554	ID1614	ID1695
ID2555	ID2269	ID2264
ID2556	ID2269	ID2264
ID2557	ID2269	ID2264
ID2558	ID1614	ID1695
ID2559	ID1614	ID1695
ID2560	ID2239	ID2226
ID2561	ID2239	ID2226
ID2562	ID2239	ID2226
ID2563	ID2239	ID2226
ID2564	ID2239	ID2226
ID2565	ID2239	ID2226
ID2566	ID2239	ID2226
ID2567	ID2239	ID2226
ID2595	ID2570	ID1633
ID2596	ID2570	ID1633
ID2597	ID2570	ID1633
ID2598	ID2570	ID1633
ID2599	ID2570	ID1633
ID2600	ID2570	ID1633
ID2601	ID2570	ID1633
ID2602	ID2570	ID1633
ID2603	ID2570	ID1633
ID2604	ID2570	ID1633
ID2605	ID2570	ID1633
ID2606	ID2570	ID1633
ID2607	ID2570	ID1633
ID2608	ID2570	ID1633
ID2609	ID2570	ID1633
ID2610	ID2301	ID2330
ID2611	ID2570	ID1633
ID2612	ID2301	ID2330
ID2613	ID2570	ID1633
ID2614	ID1627	ID1587
ID2615	ID2570	ID1633
ID2616	ID1627	ID1587
ID2617	ID1627	ID1587
ID2618	ID2314	ID2266
ID2619	ID1901	ID1866
ID2620	ID2314	ID2266
ID2621	ID1901	ID1866
ID2622	ID2314	ID2266
ID2623	ID2314	ID2266
ID2624	ID2301	ID2330
ID2625	ID2301	ID2330
ID2626	ID2301	ID2330
ID2627	ID2301	ID2330
ID2628	ID2314	ID2266
ID2629	ID2301	ID2330
ID2630	ID2314	ID2266
ID2631	ID2314	ID2266
ID2632	ID1901	ID1866
ID2633	ID1627	ID1587
ID2634	ID2314	ID2266
ID2635	ID1627	ID1587
ID2636	ID2314	ID2266
ID2637	ID2570	ID1633
ID2638	ID1901	ID1866
ID2639	ID1901	ID1866
ID2640	ID1627	ID1587
ID2641	ID1627	ID1587
ID2642	ID1901	ID1866
ID2643	ID1627	ID1587
ID2644	ID1627	ID1587
ID2645	ID1901	ID1866
ID2646	ID2301	ID2330
ID2647	ID1627	ID1587
ID2648	ID1901	ID1866
ID2649	ID1901	ID1866
ID2650	ID2301	ID2330
ID2651	ID2314	ID2266
ID2652	ID2314	ID2266
ID2653	ID1901	ID1866
ID2654	ID2301	ID2330
ID2655	ID1627	ID1587
ID2656	ID2301	ID2330
ID2657	ID1901	ID1866
ID2658	ID1901	ID1866
ID2659	ID2301	ID2330
ID2660	ID2314	ID2266
ID2661	ID1627	ID1587
ID2662	ID2301	ID2330
ID2663	ID1627	ID1587
ID2664	ID1901	ID1866
ID2665	ID2314	ID2266
ID2666	ID2314	ID2266
ID2667	ID2301	ID2330
ID2668	ID1901	ID1866
ID2669	ID2301	ID2330
ID2670	ID2314	ID2266
ID2671	ID2314	ID2266
ID2672	ID1627	ID1587
ID2673	ID2301	ID2330
ID2674	ID1901	ID1866
ID2675	ID2301	ID2330
ID2676	ID2314	ID2266
ID2677	ID1901	ID1866
ID2678	ID1901	ID1866
ID2679	ID1901	ID1866
ID2680	ID2301	ID2330
ID2681	ID2314	ID2266
ID2682	ID2314	ID2266
ID2683	ID1901	ID1866
ID2684	ID2314	ID2266
ID2685	ID1901	ID1866
ID2686	ID1627	ID1587
ID2687	ID1901	ID1866
ID2688	ID2301	ID2330
ID2689	ID2570	ID1633
ID2690	ID1627	ID1587
ID2691	ID2301	ID2330
ID2692	ID2570	ID1633
ID2693	ID1815	ID2373
ID2694	ID1648	ID2283
ID2695	ID2570	ID1633
ID2696	ID2570	ID1633
ID2697	ID1815	ID2373
ID2698	ID1815	ID2373
ID2699	ID1815	ID2373
ID2700	ID1815	ID2373
ID2701	ID1815	ID2373
ID2702	ID1648	ID2283
ID2703	ID1815	ID2373
ID2704	ID1648	ID2283
ID2705	ID1815	ID2373
ID2706	ID1815	ID2373
ID2707	ID1648	ID2283
ID2708	ID1815	ID2373
ID2709	ID1815	ID2373
ID2710	ID1815	ID2373
ID2711	ID2570	ID1633
ID2712	ID1648	ID2283
ID2713	ID1648	ID2283
ID2714	ID1648	ID2283
ID2715	ID1648	ID2283
ID2716	ID1648	ID2283
ID2717	ID2570	ID1633
ID2718	ID1648	ID2283
ID2719	ID2570	ID1633
ID2720	ID1648	ID2283
ID2721	ID2570	ID1633
ID2722	ID2570	ID1633
ID2723	ID2570	ID1633
ID2724	ID1815	ID2373
ID2725	ID2570	ID1633
ID2726	ID1648	ID2283
ID2727	ID1648	ID2283
ID2728	ID1815	ID2373
ID2729	ID2570	ID1633
ID2730	ID1815	ID2373
ID2731	ID2570	ID1633
ID2732	ID2570	ID1633
ID2733	ID1815	ID2373
ID2734	ID1648	ID2283
ID2735	ID1648	ID2283
ID2736	ID1648	ID2283
ID2737	ID1815	ID2373
ID2738	ID2570	ID1633
ID2739	ID1815	ID2373
ID2740	ID1648	ID2283
ID2741	ID1648	ID2283
ID2742	ID1648	ID2283
ID2743	ID2570	ID1633
ID2744	ID1815	ID2373
ID2745	ID2570	ID1633
ID2746	ID1648	ID2283
ID2747	ID1815	ID2373
ID2748	ID2570	ID1633
ID2749	ID1718	ID1858
ID2750	ID1718	ID1858
ID2751	ID1614	ID1695
ID2752	ID1876	ID2272
ID2753	ID1897	ID1699
ID2754	ID1718	ID1858
ID2755	ID1876	ID2272
ID2756	ID1774	ID2325
ID2757	ID1897	ID1699
ID2758	ID1897	ID1699
ID2759	ID1897	ID1699
ID2760	ID1718	ID1858
ID2761	ID1718	ID1858
ID2762	ID1774	ID2325
ID2763	ID1718	ID1858
ID2764	ID1718	ID1858
ID2765	ID1876	ID2272
ID2766	ID1774	ID2325
ID2767	ID1876	ID2272
ID2768	ID1774	ID2325
ID2769	ID1876	ID2272
ID2770	ID1718	ID1858
ID2771	ID1774	ID2325
ID2772	ID1774	ID2325
ID2773	ID1718	ID1858
ID2774	ID1876	ID2272
ID2775	ID1774	ID2325
ID2776	ID1718	ID1858
ID2777	ID1718	ID1858
ID2778	ID1897	ID1699
ID2779	ID1774	ID2325
ID2780	ID1614	ID1695
ID2781	ID1897	ID1699
ID2782	ID1614	ID1695
ID2783	ID1897	ID1699
ID2784	ID1897	ID1699
ID2785	ID1774	ID2325
ID2786	ID1897	ID1699
ID2787	ID1718	ID1858
ID2788	ID1774	ID2325
ID2789	ID1614	ID1695
ID2790	ID1897	ID1699
ID2791	ID1876	ID2272
ID2792	ID1718	ID1858
ID2793	ID1718	ID1858
ID2794	ID1774	ID2325
ID2795	ID1774	ID2325
ID2796	ID1876	ID2272
ID2797	ID1876	ID2272
ID2798	ID1876	ID2272
ID2799	ID1876	ID2272
ID2800	ID1897	ID1699
ID2801	ID1897	ID1699
ID2802	ID1897	ID1699
ID2803	ID1876	ID2272
ID2804	ID1718	ID1858
ID2805	ID1718	ID1858
ID2806	ID1876	ID2272
ID2807	ID1876	ID2272
ID2808	ID1718	ID1858
ID2809	ID1897	ID1699
ID2810	ID1718	ID1858
ID2811	ID1774	ID2325
ID2812	ID1774	ID2325
ID2813	ID1876	ID2272
ID2814	ID1897	ID1699
ID2815	ID1774	ID2325
ID2816	ID1774	ID2325
ID2817	ID1876	ID2272
ID2818	ID1876	ID2272
ID2819	ID1718	ID1858
ID2820	ID1897	ID1699
ID2821	ID1897	ID1699
ID2822	ID1774	ID2325
ID2823	ID1614	ID1695
ID2824	ID1897	ID1699
ID2825	ID1876	ID2272
ID2826	ID1876	ID2272
ID2827	ID1774	ID2325
ID2828	ID1718	ID1858
ID2829	ID1774	ID2325
ID2830	ID1774	ID2325
ID2831	ID1876	ID2272
ID2832	ID1897	ID1699
ID2833	ID1897	ID1699
ID2834	ID1743	ID1843
ID2835	ID1583	ID2577
ID2836	ID1583	ID2577
ID2837	ID1578	ID1733
ID2838	ID1802	ID1644
ID2839	ID2570	ID1633
ID2840	ID2414	ID1685
ID2841	ID1578	ID1733
ID2842	ID2414	ID1685
ID2843	ID2414	ID1685
ID2844	ID1802	ID1644
ID2845	ID2414	ID1685
ID2846	ID2570	ID1633
ID2847	ID2414	ID1685
ID2848	ID1743	ID1843
ID2849	ID1578	ID1733
ID2850	ID1583	ID2577
ID2851	ID1583	ID2577
ID2852	ID1583	ID2577
ID2853	ID1802	ID1644
ID2854	ID1583	ID2577
ID2855	ID2414	ID1685
ID2856	ID2414	ID1685
ID2857	ID1578	ID1733
ID2858	ID1578	ID1733
ID2859	ID1802	ID1644
ID2860	ID2414	ID1685
ID2861	ID1743	ID1843
ID2862	ID1578	ID1733
ID2863	ID1578	ID1733
ID2864	ID1578	ID1733
ID2865	ID2414	ID1685
ID2866	ID2414	ID1685
ID2867	ID1802	ID1644
ID2868	ID2414	ID1685
ID2869	ID1802	ID1644
ID2870	ID2414	ID1685
ID2871	ID1583	ID2577
ID2872	ID1802	ID1644
ID2873	ID1583	ID2577
ID2874	ID1743	ID1843
ID2875	ID2414	ID1685
ID2876	ID1802	ID1644
ID2877	ID1583	ID2577
ID2878	ID1583	ID2577
ID2879	ID1802	ID1644
ID2880	ID1578	ID1733
ID2881	ID1578	ID1733
ID2882	ID1583	ID2577
ID2883	ID1743	ID1843
ID2884	ID1743	ID1843
ID2885	ID1578	ID1733
ID2886	ID2414	ID1685
ID2887	ID2414	ID1685
ID2888	ID2414	ID1685
ID2889	ID1578	ID1733
ID2890	ID1583	ID2577
ID2891	ID1583	ID2577
ID2892	ID1802	ID1644
ID2893	ID1743	ID1843
ID2894	ID1743	ID1843
ID2895	ID1802	ID1644
ID2896	ID1583	ID2577
ID2897	ID1743	ID1843
ID2898	ID1743	ID1843
ID2899	ID1578	ID1733
ID2900	ID1743	ID1843
ID2901	ID1578	ID1733
ID2902	ID1583	ID2577
ID2903	ID1743	ID1843
ID2904	ID1578	ID1733
ID2905	ID1578	ID1733
ID2906	ID2570	ID1633
ID2907	ID1743	ID1843
ID2908	ID1743	ID1843
ID2909	ID1583	ID2577
ID2910	ID2414	ID1685
ID2911	ID2414	ID1685
ID2912	ID2414	ID1685
ID2913	ID1578	ID1733
ID2914	ID1802	ID1644
ID2915	ID1578	ID1733
ID2916	ID1802	ID1644
ID2917	ID1802	ID1644
ID2918	ID1743	ID1843
ID2919	ID1583	ID2577
ID2920	ID1802	ID1644
ID2921	ID1743	ID1843
ID2922	ID1578	ID1733
ID2923	ID1583	ID2577
ID2924	ID1583	ID2577
ID2925	ID1743	ID1843
ID2926	ID1743	ID1843
ID2927	ID1583	ID2577
ID2928	ID2414	ID1685
ID2929	ID1802	ID1644
ID2930	ID1802	ID1644
ID2931	ID1578	ID1733
ID2932	ID1743	ID1843
ID2933	ID1867	ID2078
ID2934	ID2571	ID1558
ID2935	ID2571	ID1558
ID2936	ID2085	ID2395
ID2937	ID2085	ID2395
ID2938	ID2571	ID1558
ID2939	ID1867	ID2078
ID2940	ID2515	ID2378
ID2941	ID2085	ID2395
ID2942	ID2571	ID1558
ID2943	ID2085	ID2395
ID2944	ID1867	ID2078
ID2945	ID1867	ID2078
ID2946	ID2085	ID2395
ID2947	ID2515	ID2378
ID2948	ID2085	ID2395
ID2949	ID2571	ID1558
ID2950	ID2085	ID2395
ID2951	ID2571	ID1558
ID2952	ID2515	ID2378
ID2953	ID2571	ID1558
ID2954	ID2515	ID2378
ID2955	ID1867	ID2078
ID2956	ID1867	ID2078
ID2957	ID2571	ID1558
ID2958	ID2085	ID2395
ID2959	ID1867	ID2078
ID2960	ID1867	ID2078
ID2961	ID2571	ID1558
ID2962	ID1867	ID2078
ID2963	ID2085	ID2395
ID2964	ID2571	ID1558
ID2965	ID1867	ID2078
ID2966	ID1867	ID2078
ID2967	ID2085	ID2395
ID2968	ID2571	ID1558
ID2969	ID2571	ID1558
ID2970	ID2571	ID1558
ID2971	ID2515	ID2378
ID2972	ID1867	ID2078
ID2973	ID2085	ID2395
ID2974	ID2085	ID2395
ID2975	ID2571	ID1558
ID2976	ID2515	ID2378
ID2977	ID2515	ID2378
ID2978	ID2571	ID1558
ID2979	ID1867	ID2078
ID2980	ID1867	ID2078
ID2981	ID2085	ID2395
ID2982	ID1867	ID2078
ID2983	ID1743	ID1843
ID2984	ID2085	ID2395
ID2985	ID1867	ID2078
ID2986	ID2571	ID1558
ID2987	ID2571	ID1558
ID2988	ID2515	ID2378
ID2989	ID1867	ID2078
ID2990	ID2085	ID2395
ID2991	ID2085	ID2395
ID2992	ID2515	ID2378
ID2993	ID2571	ID1558
ID2994	ID2085	ID2395
ID2995	ID2515	ID2378
ID2996	ID2515	ID2378
ID2997	ID2571	ID1558
ID2998	ID2515	ID2378
ID2999	ID2085	ID2395
ID3000	ID1867	ID2078
ID3001	ID2085	ID2395
ID3002	ID2085	ID2395
ID3003	ID2515	ID2378
ID3004	ID1867	ID2078
ID3005	ID2571	ID1558
ID3006	ID1763	ID2290
ID3007	ID2206	ID2247
ID3008	ID1571	ID1866
ID3009	ID2206	ID2247
ID3010	ID1571	ID1866
ID3011	ID1571	ID1866
ID3012	ID2206	ID2247
ID3013	ID1763	ID2290
ID3014	ID2206	ID2247
ID3015	ID2286	ID1821
ID3016	ID2206	ID2247
ID3017	ID2286	ID1821
ID3018	ID2286	ID1821
ID3019	ID1571	ID1866
ID3020	ID2406	ID1680
ID3021	ID2286	ID1821
ID3022	ID1763	ID2290
ID3023	ID2206	ID2247
ID3024	ID2206	ID2247
ID3025	ID1571	ID1866
ID3026	ID1763	ID2290
ID3027	ID1763	ID2290
ID3028	ID1763	ID2290
ID3029	ID2206	ID2247
ID3030	ID2206	ID2247
ID3031	ID1763	ID2290
ID3032	ID2206	ID2247
ID3033	ID2286	ID1821
ID3034	ID1763	ID2290
ID3035	ID1571	ID1866
ID3036	ID1763	ID2290
ID3037	ID2286	ID1821
ID3038	ID2286	ID1821
ID3039	ID2206	ID2247
ID3040	ID2406	ID1680
ID3041	ID2206	ID2247
ID3042	ID2406	ID1680
ID3043	ID1571	ID1866
ID3044	ID2286	ID1821
ID3045	ID2406	ID1680
ID3046	ID2286	ID1821
ID3047	ID2206	ID2247
ID3048	ID2406	ID1680
ID3049	ID1571	ID1866
ID3050	ID2406	ID1680
ID3051	ID1571	ID1866
ID3052	ID1571	ID1866
ID3053	ID2406	ID1680
ID3054	ID2406	ID1680
ID3055	ID1763	ID2290
ID3056	ID2286	ID1821
ID3057	ID1763	ID2290
ID3058	ID1763	ID2290
ID3059	ID2286	ID1821
ID3060	ID1571	ID1866
ID3061	ID2406	ID1680
ID3062	ID1571	ID1866
ID3063	ID1571	ID1866
ID3064	ID2286	ID1821
ID3065	ID2206	ID2247
ID3066	ID2206	ID2247
ID3067	ID2286	ID1821
ID3068	ID1571	ID1866
ID3069	ID2286	ID1821
ID3070	ID2206	ID2247
ID3071	ID1571	ID1866
ID3072	ID1571	ID1866
ID3073	ID1763	ID2290
ID3074	ID2406	ID1680
ID3075	ID2406	ID1680
ID3076	ID2406	ID1680
ID3077	ID1763	ID2290
ID3078	ID2286	ID1821
ID3079	ID2286	ID1821
ID3080	ID1627	ID1587
ID3081	ID1571	ID1866
ID3082	ID2406	ID1680
ID3083	ID2406	ID1680
ID3084	ID2406	ID1680
ID3085	ID2406	ID1680
ID3086	ID1763	ID2290
ID3087	ID2406	ID1680
ID3088	ID2286	ID1821
ID3089	ID1571	ID1866
ID3090	ID2286	ID1821
ID3091	ID2406	ID1680
ID3092	ID2206	ID2247
ID3093	ID1763	ID2290
ID3094	ID2406	ID1680
ID3095	ID1763	ID2290
ID3096	ID2406	ID1680
ID3097	ID2206	ID2247
ID3098	ID2206	ID2247
ID3099	ID1571	ID1866
ID3100	ID2206	ID2247
ID3101	ID1763	ID2290
ID3102	ID1763	ID2290
ID3103	ID2286	ID1821
ID3104	ID1763	ID2290
ID3105	ID1627	ID1587
ID3106	ID1627	ID1587
ID3107	ID1627	ID1587
ID2515	ID2167	ID1070
ID2570	ID2167	ID1070
ID2286	ID2140	ID1100
ID2314	ID2140	ID1100
ID1897	ID2138	ID1055
ID2085	ID2100	ID1217
ID2571	ID2086	ID1170
ID1867	ID2037	ID0052
ID1876	ID2037	ID0052
ID1901	ID2037	ID0052
ID2301	ID1999	ID1104
ID1763	ID1954	ID1211
ID1774	ID1954	ID1211
ID1802	ID1954	ID1211
ID1620	ID1941	ID0068
ID1583	ID1924	ID1217
ID1614	ID1924	ID1217
ID1627	ID1924	ID1217
ID2269	ID1915	ID0034
ID1718	ID1512	ID1158
ID1671	ID1510	ID1016
ID1815	ID1495	ID0041
ID1571	ID1439	ID1091
ID1578	ID1439	ID1091
ID1679	ID1422	ID0658
ID2239	ID1412	ID1166
ID1890	ID1362	ID0691
ID2206	ID1349	ID1156
ID2406	ID1346	ID0052
ID2414	ID1321	ID1135
ID1743	ID1315	ID1217
ID1648	ID1268	ID1227
ID2516	ID2167	ID1070
ID2517	ID2167	ID1070
ID2518	ID2167	ID1070
ID2519	ID2167	ID1070
ID2520	ID2167	ID1070
ID2521	ID2167	ID1070
ID2522	ID2167	ID1070
ID2523	ID2167	ID1070
ID2524	ID2167	ID1070
ID2525	ID2167	ID1070
ID2526	ID2167	ID1070
ID2527	ID2167	ID1070
ID2568	ID2167	ID1070
ID2573	ID2167	ID1070
ID2574	ID2167	ID1070
ID2584	ID2167	ID1070
ID2592	ID2167	ID1070
ID2594	ID2167	ID1070
ID1582	ID2155	ID1153
ID1606	ID2155	ID1153
ID1609	ID2155	ID1153
ID1632	ID2155	ID1153
ID1633	ID2155	ID1153
ID1642	ID2155	ID1153
ID1649	ID2155	ID1153
ID2190	ID2155	ID1153
ID2191	ID2155	ID1153
ID2211	ID2155	ID1153
ID2221	ID2155	ID1153
ID2245	ID2155	ID1153
ID2250	ID2155	ID1153
ID2253	ID2155	ID1153
ID2255	ID2155	ID1153
ID2258	ID2155	ID1153
ID2263	ID2155	ID1153
ID2268	ID2155	ID1153
ID2277	ID2155	ID1153
ID2281	ID2155	ID1153
ID2291	ID2140	ID1100
ID2297	ID2140	ID1100
ID2300	ID2140	ID1100
ID2302	ID2140	ID1100
ID2323	ID2140	ID1100
ID2327	ID2140	ID1100
ID2333	ID2140	ID1100
ID2342	ID2140	ID1100
ID2344	ID2140	ID1100
ID2349	ID2140	ID1100
ID2350	ID2140	ID1100
ID2357	ID2140	ID1100
ID2361	ID2140	ID1100
ID2366	ID2140	ID1100
ID2368	ID2140	ID1100
ID2372	ID2140	ID1100
ID2377	ID2140	ID1100
ID2380	ID2140	ID1100
ID1820	ID2138	ID1055
ID1822	ID2138	ID1055
ID1826	ID2138	ID1055
ID1841	ID2138	ID1055
ID1843	ID2138	ID1055
ID1850	ID2138	ID1055
ID1851	ID2138	ID1055
ID1856	ID2138	ID1055
ID1861	ID2138	ID1055
ID1869	ID2138	ID1055
ID1872	ID2138	ID1055
ID1887	ID2138	ID1055
ID1893	ID2138	ID1055
ID1894	ID2138	ID1055
ID1895	ID2138	ID1055
ID1898	ID2138	ID1055
ID1899	ID2138	ID1055
ID1903	ID2138	ID1055
ID2057	ID2100	ID1217
ID2059	ID2100	ID1217
ID2062	ID2100	ID1217
ID2064	ID2100	ID1217
ID2068	ID2100	ID1217
ID2070	ID2100	ID1217
ID2074	ID2100	ID1217
ID2076	ID2100	ID1217
ID2081	ID2100	ID1217
ID2082	ID2100	ID1217
ID2313	ID2100	ID1217
ID2319	ID2100	ID1217
ID2322	ID2100	ID1217
ID2326	ID2100	ID1217
ID2330	ID2100	ID1217
ID2343	ID2100	ID1217
ID2363	ID2100	ID1217
ID2367	ID2100	ID1217
ID2371	ID2100	ID1217
ID2375	ID2100	ID1217
ID2381	ID2100	ID1217
ID2569	ID2086	ID1170
ID2572	ID2086	ID1170
ID2575	ID2086	ID1170
ID2576	ID2086	ID1170
ID2577	ID2086	ID1170
ID2578	ID2086	ID1170
ID2579	ID2086	ID1170
ID2580	ID2086	ID1170
ID2581	ID2086	ID1170
ID2582	ID2086	ID1170
ID2583	ID2086	ID1170
ID2585	ID2086	ID1170
ID2586	ID2086	ID1170
ID2587	ID2086	ID1170
ID2588	ID2086	ID1170
ID2589	ID2086	ID1170
ID2590	ID2086	ID1170
ID2591	ID2086	ID1170
ID2593	ID2086	ID1170
ID1810	ID2037	ID0052
ID1833	ID2037	ID0052
ID1834	ID2037	ID0052
ID1835	ID2037	ID0052
ID1839	ID2037	ID0052
ID1844	ID2037	ID0052
ID1845	ID2037	ID0052
ID1847	ID2037	ID0052
ID1853	ID2037	ID0052
ID1857	ID2037	ID0052
ID1873	ID2037	ID0052
ID1881	ID2037	ID0052
ID1882	ID2037	ID0052
ID1889	ID2037	ID0052
ID1904	ID2037	ID0052
ID2285	ID1999	ID1104
ID2287	ID1999	ID1104
ID2288	ID1999	ID1104
ID2305	ID1999	ID1104
ID2307	ID1999	ID1104
ID2308	ID1999	ID1104
ID2309	ID1999	ID1104
ID2318	ID1999	ID1104
ID2329	ID1999	ID1104
ID2332	ID1999	ID1104
ID2334	ID1999	ID1104
ID2345	ID1999	ID1104
ID2346	ID1999	ID1104
ID2348	ID1999	ID1104
ID2353	ID1999	ID1104
ID2354	ID1999	ID1104
ID2355	ID1999	ID1104
ID2356	ID1999	ID1104
ID2369	ID1999	ID1104
ID2282	ID1965	ID1135
ID2294	ID1965	ID1135
ID2298	ID1965	ID1135
ID2304	ID1965	ID1135
ID2306	ID1965	ID1135
ID2310	ID1965	ID1135
ID2316	ID1965	ID1135
ID2317	ID1965	ID1135
ID2321	ID1965	ID1135
ID2336	ID1965	ID1135
ID2337	ID1965	ID1135
ID2338	ID1965	ID1135
ID2340	ID1965	ID1135
ID2364	ID1965	ID1135
ID2370	ID1965	ID1135
ID2373	ID1965	ID1135
ID2374	ID1965	ID1135
ID2376	ID1965	ID1135
ID1710	ID1954	ID1211
ID1714	ID1954	ID1211
ID1731	ID1954	ID1211
ID1734	ID1954	ID1211
ID1737	ID1954	ID1211
ID1741	ID1954	ID1211
ID1748	ID1954	ID1211
ID1757	ID1954	ID1211
ID1766	ID1954	ID1211
ID1775	ID1954	ID1211
ID1780	ID1954	ID1211
ID1781	ID1954	ID1211
ID1782	ID1954	ID1211
ID1783	ID1954	ID1211
ID1785	ID1954	ID1211
ID1786	ID1954	ID1211
ID1794	ID1954	ID1211
ID1597	ID1941	ID0068
ID1610	ID1941	ID0068
ID1611	ID1941	ID0068
ID1612	ID1941	ID0068
ID1613	ID1941	ID0068
ID1636	ID1941	ID0068
ID1640	ID1941	ID0068
ID1645	ID1941	ID0068
ID1646	ID1941	ID0068
ID2283	ID1941	ID0068
ID2290	ID1941	ID0068
ID2293	ID1941	ID0068
ID2295	ID1941	ID0068
ID2320	ID1941	ID0068
ID2325	ID1941	ID0068
ID2328	ID1941	ID0068
ID2351	ID1941	ID0068
ID2360	ID1941	ID0068
ID2362	ID1941	ID0068
ID1555	ID1924	ID1217
ID1558	ID1924	ID1217
ID1560	ID1924	ID1217
ID1563	ID1924	ID1217
ID1567	ID1924	ID1217
ID1573	ID1924	ID1217
ID1584	ID1924	ID1217
ID1585	ID1924	ID1217
ID1591	ID1924	ID1217
ID1604	ID1924	ID1217
ID1615	ID1924	ID1217
ID1617	ID1924	ID1217
ID1638	ID1924	ID1217
ID1639	ID1924	ID1217
ID1641	ID1924	ID1217
ID1644	ID1924	ID1217
ID1647	ID1924	ID1217
ID2187	ID1915	ID0034
ID2196	ID1915	ID0034
ID2197	ID1915	ID0034
ID2198	ID1915	ID0034
ID2203	ID1915	ID0034
ID2208	ID1915	ID0034
ID2217	ID1915	ID0034
ID2220	ID1915	ID0034
ID2223	ID1915	ID0034
ID2225	ID1915	ID0034
ID2233	ID1915	ID0034
ID2235	ID1915	ID0034
ID2240	ID1915	ID0034
ID2247	ID1915	ID0034
ID2248	ID1915	ID0034
ID2257	ID1915	ID0034
ID2260	ID1915	ID0034
ID2262	ID1915	ID0034
ID2267	ID1915	ID0034
ID2275	ID1915	ID0034
ID2280	ID1915	ID0034
ID2188	ID1538	ID1034
ID2195	ID1538	ID1034
ID2199	ID1538	ID1034
ID2204	ID1538	ID1034
ID2209	ID1538	ID1034
ID2214	ID1538	ID1034
ID2216	ID1538	ID1034
ID2219	ID1538	ID1034
ID2224	ID1538	ID1034
ID2226	ID1538	ID1034
ID2228	ID1538	ID1034
ID2229	ID1538	ID1034
ID2232	ID1538	ID1034
